mean	SE	variable	val	print
44.2477827121292	0.547220687820556	age	age	44.2 (0.5)
0	0	age_verbose	0-9	 0.0 (0.0)
0.123758866587857	0.00715300990124272	age_verbose	10-19	12.4 (0.7)
0.161223409067594	0.00893431861653792	age_verbose	20-29	16.1 (0.9)
0.155401819324311	0.00689903754361706	age_verbose	30-39	15.5 (0.7)
0.141810501669079	0.0066420952849185	age_verbose	40-49	14.2 (0.7)
0.162367330216328	0.00915755662129924	age_verbose	50-59	16.2 (0.9)
0.135343371424528	0.00984869380060194	age_verbose	60-69	13.5 (1.0)
0.0795426729160029	0.00535047097970713	age_verbose	70-79	 8.0 (0.5)
0.0405520287943002	0.00394426779561641	age_verbose	80+	 4.1 (0.4)
0.514934348808194	0.0089272000037433	sex	Female	51.5 (0.9)
0.485065651191806	0.0089272000037433	sex	Male	48.5 (0.9)
0.167588357721603	0.0213025963526554	race_eth	Hispanic	16.8 (2.1)
0.0578355281639102	0.00987169493893179	race_eth	Non-Hispanic Asian	 5.8 (1.0)
0.116644773837541	0.0158593445734628	race_eth	Non-Hispanic Black	11.7 (1.6)
0.60859452353858	0.0246963480070184	race_eth	Non-Hispanic White	60.9 (2.5)
0.0493368167383652	0.00493559524503556	race_eth	Other	 4.9 (0.5)
29.1226562921009	0.243275999567702	bmi	bmi	29.1 (0.2)
0.278544619888674	0.0117103335807672	bmi_cat	Healthy weight	27.9 (1.2)
0.393295517819674	0.0158273273274871	bmi_cat	Obese	39.3 (1.6)
0.296171512717171	0.0105299933455596	bmi_cat	Overweight	29.6 (1.1)
0.031988349574481	0.00218111862411827	bmi_cat	Underweight	 3.2 (0.2)
0.109577953204377	0.00722031863446261	cancer	cancer	0.1 (0.0)
0.102598034094944	0.00505844917942994	diabetes	diabetes	0.1 (0.0)
0.0414029592838564	0.00607870857839765	cad	cad	0.0 (0.0)
0.0853432560740685	0.00518390641030312	depression	depression	0.1 (0.0)
0.170692509547782	0.0116685380728925	smoking_status	Current	17.1 (1.2)
0.240594810917676	0.00908097158538479	smoking_status	Former	24.1 (0.9)
0.588712679534542	0.0159454117965262	smoking_status	Never	58.9 (1.6)
